/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 154009 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
9,205000000,1000000,0,1000000,1905
10,205000000,1000000,0,1000000,1903
11,205000000,1000000,0,1000000,1914
12,205000000,1000000,0,1000000,1910
13,205000000,1000000,0,1000000,1903
14,205000000,1000000,0,1000000,1994
15,205000000,1000000,0,1000000,1929
16,205000000,1000000,0,1000000,1900
17,205000000,1000000,0,1000000,1911
18,205000000,1000000,0,1000000,1914
19,205000000,1000000,0,1000000,1905
20,205000000,1000000,0,1000000,1915
21,205000000,1000000,0,1000000,1910
22,205000000,1000000,0,1000000,1905
23,205000000,1000000,0,1000000,1901
24,205000000,1000000,0,1000000,1956
25,205000000,1000000,0,1000000,1898
26,205000000,1000000,0,1000000,1917
27,205000000,1000000,0,1000000,1893
28,205000000,1000000,0,1000000,1904
29,205000000,1000000,0,1000000,1923
30,205000000,1000000,0,1000000,1912
31,205000000,1000000,0,1000000,1901
32,205000000,1000000,0,1000000,1983
33,205000000,1000000,0,1000000,1931
34,205000000,1000000,0,1000000,1909
35,205000000,1000000,0,1000000,1936
36,205000000,1000000,0,1000000,1903
37,205000000,1000000,0,1000000,1916
38,205000000,1000000,0,1000000,1926
39,205000000,1000000,0,1000000,1908
40,205000000,1000000,0,1000000,1906
41,205000000,1000000,0,1000000,1918
42,205000000,1000000,0,1000000,1898
43,205000000,1000000,0,1000000,1922
44,205000000,1000000,0,1000000,1922
45,205000000,1000000,0,1000000,1954
46,205000000,1000000,0,1000000,1897
47,205000000,1000000,0,1000000,1923
48,205000000,1000000,0,1000000,1924
49,205000000,1000000,0,1000000,1906
50,205000000,1000000,0,1000000,1904
51,205000000,1000000,0,1000000,1890
52,205000000,1000000,0,1000000,1907
53,205000000,1000000,0,1000000,1911
54,205000000,1000000,0,1000000,1907
55,205000000,1000000,0,1000000,1892
56,205000000,1000000,0,1000000,1904
57,205000000,1000000,0,1000000,1903
58,205000000,1000000,0,1000000,1910
59,205000000,1000000,0,1000000,1883
60,205000000,1000000,0,1000000,1907
61,205000000,1000000,0,1000000,1920
62,205000000,1000000,0,1000000,1903
63,205000000,1000000,0,1000000,1913
64,205000000,1000000,0,1000000,1898
65,205000000,1000000,0,1000000,1898
66,205000000,1000000,0,1000000,1897
67,205000000,1000000,0,1000000,1924
68,205000000,1000000,0,1000000,1894
69,205000000,1000000,0,1000000,1899
70,205000000,1000000,0,1000000,1932
71,205000000,1000000,0,1000000,1892
72,205000000,1000000,0,1000000,1906
73,205000000,1000000,0,1000000,1903
74,205000000,1000000,0,1000000,1917
75,205000000,1000000,0,1000000,1916
76,205000000,1000000,0,1000000,1904
77,205000000,1000000,0,1000000,1924
78,205000000,1000000,0,1000000,1910
79,205000000,1000000,0,1000000,1931
80,205000000,1000000,0,1000000,1902
81,205000000,1000000,0,1000000,1928
82,205000000,1000000,0,1000000,1903
83,205000000,1000000,0,1000000,1892
84,205000000,1000000,0,1000000,1905
85,205000000,1000000,0,1000000,1905
86,205000000,1000000,0,1000000,1899
87,205000000,1000000,0,1000000,1929
88,205000000,1000000,0,1000000,1909
89,205000000,1000000,0,1000000,1911
90,205000000,1000000,0,1000000,1894
91,205000000,1000000,0,1000000,1909
92,205000000,1000000,0,1000000,1889
93,205000000,1000000,0,1000000,1905
94,205000000,1000000,0,1000000,1918
95,205000000,1000000,0,1000000,1904
96,205000000,1000000,0,1000000,1905
97,205000000,1000000,0,1000000,1931
98,205000000,1000000,0,1000000,1913
99,205000000,1000000,0,1000000,1910
0,210000000,1000000,0,1000000,1971
1,210000000,1000000,0,1000000,2023
2,210000000,1000000,0,1000000,2068
3,210000000,1000000,0,1000000,1971
4,210000000,1000000,0,1000000,1981
